model,ablation,n_train,n_fit,n_validation,seed,cohort_seed,subset_seed,model_seed,split,site_or_shift,metric,value,trainable_parameters,backend,world,benchmark
flow_jump_observation,no_representation,10,8,2,201,101,201,301,test,all,event_brier,0.22152791814401668,6490,,informative_observation,low_n
flow_jump_observation,no_representation,10,8,2,201,101,201,301,test,all,event_log_loss,0.6359746406426715,6490,,informative_observation,low_n
flow_jump_observation,no_representation,10,8,2,201,101,201,301,test,all,event_roc_auc,0.4784219288627498,6490,,informative_observation,low_n
flow_jump_observation,no_representation,10,8,2,201,101,201,301,test,all,latent_aligned_r2,0.6236459924182356,6490,,informative_observation,low_n
flow_jump_observation,no_representation,10,8,2,201,101,201,301,test,all,mae,0.8906397223472595,6490,,informative_observation,low_n
flow_jump_observation,no_representation,10,8,2,201,101,201,301,test,all,nll,1.5210270858089396,6490,,informative_observation,low_n
flow_jump_observation,no_representation,10,8,2,201,101,201,301,test,all,rmse,1.6052857083488525,6490,,informative_observation,low_n
flow_jump_observation,none,10,8,2,201,101,201,301,test,all,coverage_90,0.961910894276728,7642,,informative_observation,low_n
flow_jump_observation,none,10,8,2,201,101,201,301,test,all,event_brier,0.16397386621025964,7642,,informative_observation,low_n
flow_jump_observation,none,10,8,2,201,101,201,301,test,all,event_log_loss,0.5148142490856958,7642,,informative_observation,low_n
flow_jump_observation,none,10,8,2,201,101,201,301,test,all,event_roc_auc,0.5167495785043446,7642,,informative_observation,low_n
flow_jump_observation,none,10,8,2,201,101,201,301,test,all,latent_aligned_r2,0.5810923095091612,7642,,informative_observation,low_n
flow_jump_observation,none,10,8,2,201,101,201,301,test,all,mae,0.6533148288726807,7642,,informative_observation,low_n
flow_jump_observation,none,10,8,2,201,101,201,301,test,all,nll,0.8947194991982749,7642,,informative_observation,low_n
flow_jump_observation,none,10,8,2,201,101,201,301,test,all,rmse,1.187894605023416,7642,,informative_observation,low_n
gradient_boosting,none,10,8,2,201,101,201,301,test,all,mae,0.37668348601778096,0,,informative_observation,low_n
gradient_boosting,none,10,8,2,201,101,201,301,test,all,rmse,0.6004816022407692,0,,informative_observation,low_n
gru_from_scratch,none,10,8,2,201,101,201,301,test,all,coverage_90,0.9214195497659674,4455,,informative_observation,low_n
gru_from_scratch,none,10,8,2,201,101,201,301,test,all,event_brier,0.12115980782049639,4455,,informative_observation,low_n
gru_from_scratch,none,10,8,2,201,101,201,301,test,all,event_log_loss,0.4075718627457708,4455,,informative_observation,low_n
gru_from_scratch,none,10,8,2,201,101,201,301,test,all,event_roc_auc,0.5088784624382177,4455,,informative_observation,low_n
gru_from_scratch,none,10,8,2,201,101,201,301,test,all,latent_aligned_r2,0.6759929396174242,4455,,informative_observation,low_n
gru_from_scratch,none,10,8,2,201,101,201,301,test,all,mae,0.5645266771316528,4455,,informative_observation,low_n
gru_from_scratch,none,10,8,2,201,101,201,301,test,all,nll,0.8429977824511541,4455,,informative_observation,low_n
gru_from_scratch,none,10,8,2,201,101,201,301,test,all,rmse,1.001747987802768,4455,,informative_observation,low_n
representation_linear,none,10,8,2,201,101,201,301,test,all,mae,0.8722036968957041,20,,informative_observation,low_n
representation_linear,none,10,8,2,201,101,201,301,test,all,rmse,1.170352914378702,20,,informative_observation,low_n
representation_mlp,none,10,8,2,201,101,201,301,test,all,mae,1.5960338726315917,673,torch_lbfgs,informative_observation,low_n
representation_mlp,none,10,8,2,201,101,201,301,test,all,rmse,5.422948889101505,673,torch_lbfgs,informative_observation,low_n
